Algorithm,Accuracy,Precision,Recall,F1 Score,Time (s)
Random Forest (Tuned),1.0,1.0,1.0,1.0,0.1432781219482422
SVM (Tuned),0.9777777777777777,0.9793650793650793,0.9777777777777777,0.9777448559670783,0.0014567375183105469
